date,visits
2023-09-01,19463.058230137874
2023-09-02,14574.1253225016
2023-09-03,16268.856930180795
2023-09-04,16240.281879713639
2023-09-05,15213.56358009261
2023-09-06,11180.272684913572
2023-09-07,13773.786112846907
2023-09-08,11229.384452325
2023-09-09,10335.919949682931
2023-09-10,10170.179712492103
2023-09-11,9398.161825357145
2023-09-12,8407.294451715044
2023-09-13,10532.924342393411
2023-09-14,14414.474312908049
2023-09-15,9170.575856369675
2023-09-16,10065.894807095856
2023-09-17,9892.00759454081
2023-09-18,13263.823567946656
2023-09-19,13829.10310991048
2023-09-20,15364.275531873307
2023-09-21,21621.714266598727
2023-09-22,18710.052650528483
2023-09-23,14971.625524625058
2023-09-24,14264.577756811877
2023-09-25,13252.259543449427
2023-09-26,26509.633426782515
2023-09-27,39911.24407815995
2023-09-28,35267.38959275857
2023-09-29,24441.844386171382
2023-09-30,31130.883379992847
2023-10-01,66850.88434083844
2023-10-02,32769.546509846914
2023-10-03,22601.249790246082
2023-10-04,20682.41534179334
2023-10-05,21085.184752666304
2023-10-06,21117.43921287148
2023-10-07,20078.59223282592
2023-10-08,19411.715342850774
2023-10-09,16575.96452872759
2023-10-10,18771.730570616837
2023-10-11,16596.9301872205
2023-10-12,15088.854492609516
2023-10-13,13656.940910623423
2023-10-14,16595.854488552366
2023-10-15,17960.37653286022
2023-10-16,18222.289569181503
2023-10-17,18160.900984876156
2023-10-18,15822.46148490595
2023-10-19,24447.27921253028
2023-10-20,24057.420894866525
2023-10-21,23268.62632483147
2023-10-22,30181.79369185259
2023-10-23,25078.793266739696
2023-10-24,20501.586790570713
2023-10-25,24336.585715843252
2023-10-26,28888.75168730567
2023-10-27,18232.827759616317
2023-10-28,9953.124417668876
2023-10-29,25909.964518341127
2023-10-30,19701.85735700449
2023-10-31,14067.234727512285
2023-11-01,17317.73008445344
2023-11-02,21817.907989685416
2023-11-03,18521.0543283648
2023-11-04,10790.296212503948
2023-11-05,16250.39948801021
2023-11-06,25596.885866943583
2023-11-07,33907.70383241815
2023-11-08,24724.415661484058
2023-11-09,34436.82312320786
2023-11-10,27138.90360909701
2023-11-11,37471.85091354634
2023-11-12,22162.336065678915
2023-11-13,23023.80685894843
2023-11-14,24255.63800687287
2023-11-15,24694.356179860664
2023-11-16,28100.592723281603
2023-11-17,24026.907882832234
2023-11-18,22429.264942400245
2023-11-19,18197.65930696049
2023-11-20,25967.030335461786
2023-11-21,28737.272805874454
2023-11-22,19171.29985946496
2023-11-23,19898.699527838413
2023-11-24,21671.586965069248
2023-11-25,16808.87126550004
2023-11-26,15765.930040240164
2023-11-27,23424.198229432637
2023-11-28,41487.3949609254
2023-11-29,20033.974910581615
2023-11-30,18497.744030662547
