date,average_visit_duration
2023-09-01,84.89964729622312
2023-09-02,315.23346300970616
2023-09-03,166.37540750163393
2023-09-04,177.67631523416384
2023-09-05,139.47159686473654
2023-09-06,282.2980850136982
2023-09-07,162.87805047735822
2023-09-08,89.99967732212099
2023-09-09,236.174098474696
2023-09-10,159.4416449751291
2023-09-11,91.68830295812447
2023-09-12,130.5508437202611
2023-09-13,139.95731155056387
2023-09-14,103.64486609364329
2023-09-15,217.45089121328152
2023-09-16,130.71676551618305
2023-09-17,102.70226298251718
2023-09-18,126.88094958053811
2023-09-19,70.54504161360923
2023-09-20,171.31577210933392
2023-09-21,55.143872521728625
2023-09-22,56.51146485860204
2023-09-23,235.71559510741622
2023-09-24,66.12194401002684
2023-09-25,59.58835572168666
2023-09-26,190.89875957035417
2023-09-27,379.73712110094
2023-09-28,242.2123884994865
2023-09-29,220.4883280346114
2023-09-30,396.8135178670028
2023-10-01,338.0841871666994
2023-10-02,183.55411576812392
2023-10-03,178.65279161045646
2023-10-04,307.4999088733821
2023-10-05,172.85834206947595
2023-10-06,119.6163370035498
2023-10-07,122.306897739791
2023-10-08,172.042780489274
2023-10-09,120.91787240366624
2023-10-10,101.3195679328202
2023-10-11,306.1072941607172
2023-10-12,164.921350443857
2023-10-13,159.08856058220962
2023-10-14,107.50990899405632
2023-10-15,287.85977166572184
2023-10-16,242.30773640523145
2023-10-17,102.52289644260985
2023-10-18,331.9991885411597
2023-10-19,263.1460076366455
2023-10-20,169.65133726981992
2023-10-21,147.2140648947774
2023-10-22,330.3848854918291
2023-10-23,340.09602694426917
2023-10-24,153.77297645089882
2023-10-25,406.31811335213007
2023-10-26,255.45420484963995
2023-10-27,339.1171875180178
2023-10-28,195.22920283287937
2023-10-29,293.1863528427284
2023-10-30,206.1636713171459
2023-10-31,185.7992463587978
2023-11-01,224.9710275828926
2023-11-02,205.9930973856499
2023-11-03,230.44661245275032
2023-11-04,110.26739410530834
2023-11-05,267.0384324463606
2023-11-06,69.78849326380976
2023-11-07,488.46057867365766
2023-11-08,234.39230891134662
2023-11-09,389.0132079479995
2023-11-10,305.5373493079957
2023-11-11,707.3564140109335
2023-11-12,331.71980290805044
2023-11-13,171.91736077661355
2023-11-14,311.5811383042732
2023-11-15,217.70592724382823
2023-11-16,341.66134055555574
2023-11-17,205.82623255071206
2023-11-18,282.80033405870734
2023-11-19,418.31887251863316
2023-11-20,129.3714231038513
2023-11-21,243.60836266442772
2023-11-22,181.71847517928836
2023-11-23,185.1886022637138
2023-11-24,135.76502273491934
2023-11-25,355.4636702387877
2023-11-26,244.97660231989423
2023-11-27,192.19830695440422
2023-11-28,159.79736918852865
2023-11-29,144.76861733093818
2023-11-30,199.0538721198379
