date,visits
2023-09-01,26109.032467853565
2023-09-02,24363.888346060572
2023-09-03,23354.068229657372
2023-09-04,22317.608770111103
2023-09-05,32812.78916402512
2023-09-06,17820.66676083485
2023-09-07,26533.649559584228
2023-09-08,17401.441938681324
2023-09-09,15288.922733969437
2023-09-10,13306.651843207641
2023-09-11,16617.201017523665
2023-09-12,36341.0159445186
2023-09-13,17972.853214606024
2023-09-14,22680.36062906701
2023-09-15,19605.727657397285
2023-09-16,17895.651316424748
2023-09-17,16501.564429460966
2023-09-18,21191.972894012564
2023-09-19,44472.841379644175
2023-09-20,19731.4990244962
2023-09-21,30908.405374251546
2023-09-22,15210.610135400068
2023-09-23,14957.675239520431
2023-09-24,12586.069777688554
2023-09-25,15038.558837420174
2023-09-26,24706.990508585055
2023-09-27,18182.873045594893
2023-09-28,30015.03825939232
2023-09-29,14058.78390404081
2023-09-30,14219.55820295024
2023-10-01,20704.380718555236
2023-10-02,16094.836421865835
2023-10-03,14220.196381234578
2023-10-04,13005.354228550199
2023-10-05,12392.080929587702
2023-10-06,12775.737990280391
2023-10-07,13422.619772363942
2023-10-08,16713.899739693352
2023-10-09,6835.6680004089185
2023-10-10,18622.317629874124
2023-10-11,14901.430018460065
2023-10-12,11163.374745974412
2023-10-13,10264.331587608422
2023-10-14,13461.263401062364
2023-10-15,16202.42875933225
2023-10-16,11926.928988527263
2023-10-17,18932.50305945451
2023-10-18,12981.269668940286
2023-10-19,14223.952183459773
2023-10-20,12136.317051228052
2023-10-21,12840.045699662842
2023-10-22,19187.04025945264
2023-10-23,18171.825579562297
2023-10-24,18960.60105827139
2023-10-25,17129.066000019084
2023-10-26,12391.987385787641
2023-10-27,15602.834706547472
2023-10-28,15480.86435460219
2023-10-29,15027.988829387401
2023-10-30,17652.034535174265
2023-10-31,94629.06432542008
2023-11-01,33890.55489526038
2023-11-02,42038.45242871801
2023-11-03,28218.023031017932
2023-11-04,24959.946387905857
2023-11-05,22122.24208789216
2023-11-06,32775.1701554935
2023-11-07,29712.018965005278
2023-11-08,21185.371389314045
2023-11-09,27806.07235381152
2023-11-10,29510.507396957306
2023-11-11,26896.870497142194
2023-11-12,27108.702364416342
2023-11-13,30887.142675122876
2023-11-14,28757.434140193167
2023-11-15,23322.99352006857
2023-11-16,32612.405432290234
2023-11-17,23135.496129330677
2023-11-18,23757.00274791488
2023-11-19,20699.473289124326
2023-11-20,20221.23523268177
2023-11-21,33294.655137297625
2023-11-22,20721.06417225327
2023-11-23,33688.08837379841
2023-11-24,20043.51098455044
2023-11-25,19024.741526132453
2023-11-26,19602.559096492467
2023-11-27,18124.595213654036
2023-11-28,26436.784656363154
2023-11-29,54007.01318225204
2023-11-30,46491.439479069864
