date,visits
2023-09-01,4837.859797955542
2023-09-02,8981.78236215398
2023-09-03,6346.245019825123
2023-09-04,6703.2607257653935
2023-09-05,10964.733951096081
2023-09-06,5049.321379706326
2023-09-07,5279.049251448599
2023-09-08,10538.245434290944
2023-09-09,4370.569914655687
2023-09-10,7250.3569387433145
2023-09-11,6109.866847408742
2023-09-12,11234.531641912181
2023-09-13,6384.071999833161
2023-09-14,5253.6803815171825
2023-09-15,5225.606954046994
2023-09-16,6660.4015033637015
2023-09-17,5677.815955956345
2023-09-18,5534.481513666957
2023-09-19,5071.18180799782
2023-09-20,4865.197653063559
2023-09-21,4928.310318579516
2023-09-22,4820.064776905476
2023-09-23,3486.341696098345
2023-09-24,8118.197497756432
2023-09-25,25806.54822702026
2023-09-26,9868.775424306394
2023-09-27,6481.4301844652155
2023-09-28,7400.685036224232
2023-09-29,8046.919471107138
2023-09-30,4690.410410910134
2023-10-01,7040.274404445399
2023-10-02,10043.774556622397
2023-10-03,6280.108691597807
2023-10-04,6953.0817032884015
2023-10-05,5472.989177987064
2023-10-06,6697.76112431867
2023-10-07,3772.1459633816226
2023-10-08,6624.558523717413
2023-10-09,6957.27237470625
2023-10-10,8280.129888024589
2023-10-11,5581.321442038383
2023-10-12,6236.46057507465
2023-10-13,4641.7343547590535
2023-10-14,4814.539782252594
2023-10-15,6788.628333957582
2023-10-16,12888.15106024899
2023-10-17,6210.282964895703
2023-10-18,5753.317193819805
2023-10-19,3078.8374081070756
2023-10-20,3192.935504528826
2023-10-21,5529.745382623036
2023-10-22,5372.720519840326
2023-10-23,15724.987150188892
2023-10-24,9437.750978961969
2023-10-25,4943.060123939738
2023-10-26,5144.903800154045
2023-10-27,5877.455946061783
2023-10-28,6723.280148267825
2023-10-29,2553.9648923047
2023-10-30,5136.866363815319
2023-10-31,9440.729384255435
2023-11-01,4565.535253597742
2023-11-02,6127.201688461654
2023-11-03,6490.72861878578
2023-11-04,10528.951765015476
2023-11-05,12936.007725623458
2023-11-06,9859.99452944426
2023-11-07,10058.026563288837
2023-11-08,6992.66096013198
2023-11-09,12649.567550891778
2023-11-10,14082.553051982643
2023-11-11,12220.928720262533
2023-11-12,26821.258266158067
2023-11-13,13058.930358225982
2023-11-14,11750.772631398413
2023-11-15,16782.717814416406
2023-11-16,18391.249107341326
2023-11-17,14322.167441480273
2023-11-18,12739.553066127351
2023-11-19,30514.06899845838
2023-11-20,9623.77933015732
2023-11-21,18277.398303471113
2023-11-22,17864.316076237777
2023-11-23,13991.210813895395
2023-11-24,18634.067151405292
2023-11-25,15135.75281739685
2023-11-26,24240.366126500165
2023-11-27,11869.706826373033
2023-11-28,18779.664016166596
2023-11-29,14623.153748369177
2023-11-30,14023.259740159847
