date,average_visit_duration
2023-09-01,336.87388255982364
2023-09-02,427.19736758877616
2023-09-03,403.6898847097415
2023-09-04,311.9635620577487
2023-09-05,206.30778840275127
2023-09-06,305.0089901831216
2023-09-07,233.63790258749512
2023-09-08,242.17799979837
2023-09-09,368.58152500246325
2023-09-10,377.4050095096685
2023-09-11,412.4192411060712
2023-09-12,181.05486975088496
2023-09-13,396.16454804127085
2023-09-14,237.1728589139816
2023-09-15,571.1274819379321
2023-09-16,678.9499647141411
2023-09-17,766.9578830056886
2023-09-18,722.6761109196277
2023-09-19,234.6670398819457
2023-09-20,539.0329214665975
2023-09-21,478.9495194431886
2023-09-22,712.596079202274
2023-09-23,283.0869716416283
2023-09-24,431.22884626983654
2023-09-25,584.1039033804816
2023-09-26,743.9610427072072
2023-09-27,688.266059859749
2023-09-28,298.16843102109624
2023-09-29,304.94785563372267
2023-09-30,1188.7348340406802
2023-10-01,600.9759380085686
2023-10-02,735.6899003960177
2023-10-03,1179.1043838685575
2023-10-04,923.3317699413537
2023-10-05,520.7641596216232
2023-10-06,1545.7762615817314
2023-10-07,803.2549748984677
2023-10-08,1371.349506572636
2023-10-09,1317.6420710002915
2023-10-10,1120.7669539421743
2023-10-11,1784.1281793146786
2023-10-12,1402.3224557040016
2023-10-13,865.0337329128264
2023-10-14,1382.9235025436524
2023-10-15,930.3021061419238
2023-10-16,1122.990694897633
2023-10-17,400.3018633218526
2023-10-18,1320.7868710891253
2023-10-19,1142.5065556911384
2023-10-20,692.9854154665187
2023-10-21,430.61647157128897
2023-10-22,604.0547074964617
2023-10-23,729.5892207216652
2023-10-24,804.6320814918342
2023-10-25,470.8540847303352
2023-10-26,389.80293108727864
2023-10-27,317.49806825447763
2023-10-28,455.3910304190317
2023-10-29,341.708664418442
2023-10-30,501.18214702129603
2023-10-31,880.4807351316529
2023-11-01,516.1178903392174
2023-11-02,705.7051261110491
2023-11-03,385.9213831964495
2023-11-04,297.7098146983132
2023-11-05,434.79110705720865
2023-11-06,474.9568634452103
2023-11-07,373.9015480095203
2023-11-08,453.15753511361106
2023-11-09,645.0503468172523
2023-11-10,528.051799221397
2023-11-11,456.29154887252724
2023-11-12,518.785739876905
2023-11-13,417.1295409208588
2023-11-14,340.09140019219353
2023-11-15,421.79962073011865
2023-11-16,369.74126562146967
2023-11-17,290.25043294432123
2023-11-18,503.33212827189004
2023-11-19,361.0389739010909
2023-11-20,377.5650855052938
2023-11-21,372.30226457648286
2023-11-22,459.0750936833054
2023-11-23,456.26239312911116
2023-11-24,298.6393330632559
2023-11-25,355.590914723166
2023-11-26,385.19795662447166
2023-11-27,306.1123316816707
2023-11-28,385.93204171686705
2023-11-29,211.65932635799908
2023-11-30,486.54143935721595
