date,average_visit_duration
2023-09-01,152.7808092078547
2023-09-02,239.99542629361204
2023-09-03,139.02339844394683
2023-09-04,198.57802326353172
2023-09-05,156.89558160638907
2023-09-06,376.38906830437276
2023-09-07,204.16994447678283
2023-09-08,48.5615808032161
2023-09-09,207.24423283903866
2023-09-10,75.33590333080558
2023-09-11,149.87924779277023
2023-09-12,105.5226893857922
2023-09-13,170.8354185021991
2023-09-14,68.39760439784258
2023-09-15,95.29902237970873
2023-09-16,81.66332400334981
2023-09-17,410.2017375727437
2023-09-18,223.2183405075704
2023-09-19,349.2757533561657
2023-09-20,378.99084295686265
2023-09-21,341.58533658350854
2023-09-22,46.08060305238785
2023-09-23,42.298189463418396
2023-09-24,171.56074485779766
2023-09-25,78.21989153169818
2023-09-26,149.86447451372644
2023-09-27,100.5944939077124
2023-09-28,158.49404289143774
2023-09-29,362.50835957623957
2023-09-30,444.56515754344554
2023-10-01,166.96569463628578
2023-10-02,115.33074362506443
2023-10-03,147.65265583850726
2023-10-04,79.45662996334791
2023-10-05,168.2143210323347
2023-10-06,65.79250028790283
2023-10-07,59.30064399501193
2023-10-08,74.51081820528115
2023-10-09,72.45225309445617
2023-10-10,168.12738260960825
2023-10-11,495.9355447929613
2023-10-12,1146.12668833177
2023-10-13,653.7718655188189
2023-10-14,617.8614453692824
2023-10-15,309.88720631849986
2023-10-16,202.4195452509136
2023-10-17,340.27529934404555
2023-10-18,526.2918836782862
2023-10-19,548.4069079227639
2023-10-20,149.5127809717233
2023-10-21,399.30103833149394
2023-10-22,294.57466729812023
2023-10-23,159.08872430949359
2023-10-24,183.82191321596716
2023-10-25,246.53276245013825
2023-10-26,683.1778307906621
2023-10-27,307.89745324822235
2023-10-28,203.10807073872064
2023-10-29,109.66275698087387
2023-10-30,260.47971790313403
2023-10-31,123.81281634975913
2023-11-01,357.05149054238495
2023-11-02,223.65319246748317
2023-11-03,263.478982355396
2023-11-04,479.73082933329175
2023-11-05,298.7767755168224
2023-11-06,160.75764802297525
2023-11-07,216.19383857469546
2023-11-08,289.953961533997
2023-11-09,473.58286947353037
2023-11-10,224.4822204245731
2023-11-11,271.48435988833876
2023-11-12,347.21971829393595
2023-11-13,284.5433490334971
2023-11-14,208.63853602894358
2023-11-15,249.358240334339
2023-11-16,470.9201029898285
2023-11-17,550.1764725015
2023-11-18,451.09095813526784
2023-11-19,387.9771453207981
2023-11-20,342.2159576516909
2023-11-21,497.41825975081076
2023-11-22,468.6307659676916
2023-11-23,170.22212391304927
2023-11-24,192.79492282510512
2023-11-25,193.4390149668296
2023-11-26,160.127372902186
2023-11-27,292.47821675838435
2023-11-28,384.2757859371387
2023-11-29,138.42239156185772
2023-11-30,232.8274992971946
